股票代號,產業名稱
2317,電子–其他電子
2318,
2319,
2320,
2321,電子–通信網路
2322,
2323,電子–光電
2324,電子–電腦及週邊設備
2325,
2326,
2327,電子–電子零組件
2328,電子–電子零組件
2329,電子–半導體
2330,電子–半導體
2331,電子–電腦及週邊設備
2332,電子–通信網路
2333,
2334,
2335,
2336,
2337,電子–半導體
2338,電子–半導體
2339,
2340,電子–半導體
2341,
2342,電子–半導體
2343,
2344,電子–半導體
2345,電子–通信網路
2347,電子–電子通路
2348,其他
2349,電子–光電
2350,
2351,電子–半導體
2352,電子–電腦及週邊設備
2353,電子–電腦及週邊設備
2354,電子–其他電子
2355,電子–電子零組件
2356,電子–電腦及週邊設備
2357,電子–電腦及週邊設備
2358,
2359,電子–其他電子
2360,電子–其他電子
2361,
2362,電子–電腦及週邊設備
2363,電子–半導體
2364,電子–電腦及週邊設備
2365,電子–電腦及週邊設備
2366,
2367,電子–電子零組件
2368,電子–電子零組件
2369,電子–半導體
2370,
2371,電機機械
2373,電子–其他電子
2374,電子–光電
2375,電子–電子零組件
2376,電子–電腦及週邊設備
2377,電子–電腦及週邊設備
2378,
2379,電子–半導體
2380,電子–電腦及週邊設備
2381,
2382,電子–電腦及週邊設備
2383,電子–電子零組件
2384,
2385,電子–電子零組件
2386,
2387,電子–電腦及週邊設備
2388,電子–半導體
2389,
2390,電子–其他電子
2391,
2392,電子–電子零組件
2393,電子–光電
2394,
2395,電子–電腦及週邊設備
2396,
2397,電子–電腦及週邊設備
2398,
2399,電子–電腦及週邊設備
2401,電子–半導體
2402,電子–電子零組件
2403,
2404,電子–其他電子
2405,電子–電腦及週邊設備
2406,電子–光電
2407,
2408,電子–半導體
2409,電子–光電
2410,
2411,
2412,電子–通信網路
2413,電子–電子零組件
2414,電子–電子通路
2415,電子–電子零組件
2416,
2417,電子–電腦及週邊設備
2418,
2419,電子–通信網路
2420,電子–電子零組件
2421,電子–電子零組件
2422,
2423,電子–其他電子
2424,電子–通信網路
2425,電子–電腦及週邊設備
2426,電子–光電
2427,電子–資訊服務
2428,電子–電子零組件
2429,電子–光電
2430,電子–電子通路
2431,電子–電子零組件
2433,電子–其他電子
2434,電子–半導體
2435,
2436,電子–半導體
2437,
2438,電子–光電
2439,電子–通信網路
2440,電子–電子零組件
2441,電子–半導體
2442,建材營建
2443,
2444,電子–通信網路
2445,
2446,
2447,
2448,
2449,電子–半導體
2450,電子–通信網路
2451,電子–半導體
2452,
2453,電子–資訊服務
2454,電子–半導體
2455,電子–通信網路
2456,
2457,電子–電子零組件
2458,電子–半導體
2459,電子–其他電子
2460,電子–電子零組件
2461,電子–其他電子
2462,電子–電子零組件
2463,
2464,電子–其他電子
2465,電子–電腦及週邊設備
2466,電子–光電
2467,電子–電子零組件
2468,電子–資訊服務
2469,
2470,
2471,電子–資訊服務
2472,電子–電子零組件
2473,
2474,電子–其他電子
2475,
2476,電子–電子零組件
2477,電子–其他電子
2478,電子–電子零組件
2479,
2480,電子–資訊服務
2481,電子–半導體
2482,電子–其他電子
2483,電子–電子零組件
2484,電子–電子零組件
2485,電子–通信網路
2486,電子–光電
2487,
2488,電子–其他電子
2489,電子–光電
2490,
2491,電子–光電
2492,電子–電子零組件
2493,電子–電子零組件
2494,
2495,電子–電腦及週邊設備
2496,其他
2497,汽車工業
2498,電子–通信網路
2499,
2501,建材營建
2504,建材營建
2505,建材營建
2506,建材營建
2509,建材營建
2511,建材營建
2512,
2514,其他
2515,建材營建
2516,建材營建
2517,
2518,
2519,
2520,建材營建
2521,
2522,
2523,
2524,建材營建
2525,
2526,
2527,建材營建
2528,建材營建
2529,
2530,建材營建
2531,
2533,
2534,建材營建
2535,建材營建
2536,建材營建
2537,建材營建
2538,建材營建
2539,建材營建
2540,建材營建
2542,建材營建
2543,建材營建
2544,
2545,建材營建
2546,建材營建
2547,建材營建
2548,建材營建
2553,
2566,
2594,
2596,建材營建
2597,建材營建
2601,貿易百貨
2603,航運業
2604,
2605,航運業
2606,航運業
2607,航運業
2608,航運業
2609,航運業
2610,航運業
2611,航運業
2612,航運業
2613,航運業
2614,其他
2615,航運業
2616,油電燃氣
2617,航運業
2618,航運業
2628,
2630,航運業
2633,航運業
2634,航運業
2636,航運業
2637,航運業
2640,數位雲端
2641,航運業
2642,航運業
2643,航運業
2645,航運業
2646,航運業
2701,觀光餐旅
2702,觀光餐旅
2704,觀光餐旅
2705,觀光餐旅
2706,觀光餐旅
2707,觀光餐旅
2712,觀光餐旅
2714,
2718,建材營建
2719,觀光餐旅
2722,觀光餐旅
2723,觀光餐旅
2724,觀光餐旅
2726,觀光餐旅
2727,觀光餐旅
2729,觀光餐旅
2731,觀光餐旅
2732,觀光餐旅
2734,觀光餐旅
2736,觀光餐旅
2739,觀光餐旅
2740,觀光餐旅
2743,觀光餐旅
2745,觀光餐旅
2748,觀光餐旅
2751,觀光餐旅
2752,觀光餐旅
2753,觀光餐旅
2754,觀光餐旅
2755,觀光餐旅
2756,觀光餐旅
2762,運動休閒
2801,金融保險
2802,
2803,
2804,
2805,
2806,
2807,
2808,
2809,金融保險
2810,
2811,
2812,金融保險
2813,
2814,
2815,
2816,金融保險
2817,
2818,
2819,
2820,金融保險
2821,
2822,
2823,
2824,
2825,
2826,
2827,
2828,
2829,
2830,
2831,
2832,金融保險
2833,
2834,金融保險
2835,
2836,金融保險
2837,
2838,金融保險
2839,
2840,
2841,
2842,
2843,
2844,
2845,金融保險
2846,
2847,
2848,
2849,金融保險
2850,金融保險
2851,金融保險
2852,金融保險
2854,
2855,金融保險
2856,
2867,金融保險
2880,金融保險
2881,金融保險
2882,金融保險
2883,金融保險
2884,金融保險
2885,金融保險
2886,金融保險
2887,金融保險
2888,金融保險
2889,金融保險
2890,金融保險
2891,金融保險
2892,金融保險
2897,金融保險
2901,貿易百貨
2902,
2903,貿易百貨
2904,其他
2905,貿易百貨
2906,貿易百貨
2908,貿易百貨
2910,貿易百貨
2911,貿易百貨
2912,貿易百貨
2913,貿易百貨
2914,
2915,貿易百貨
2916,居家生活
2921,
2923,建材營建
2924,居家生活
2926,文化創意
2928,
2929,貿易百貨
2936,
2937,居家生活
2939,貿易百貨
2941,居家生活
2945,貿易百貨
2947,居家生活
2948,居家生活
2949,數位雲端
3001,
3002,電子–電腦及週邊設備
3003,電子–電子零組件
3004,鋼鐵工業
3005,電子–電腦及週邊設備
3006,電子–半導體
3007,
3008,電子–光電
3009,
3010,電子–電子通路
3011,電子–電子零組件
3012,
3013,電子–電腦及週邊設備
3014,電子–半導體
3015,電子–電子零組件
3016,電子–半導體
3017,電子–電腦及週邊設備
3018,電子–其他電子
3019,電子–光電
3020,
3021,電子–電子零組件
3022,電子–電腦及週邊設備
3023,電子–電子零組件
3024,電子–光電
3025,電子–通信網路
3026,電子–電子零組件
3027,電子–通信網路
3028,電子–電子通路
3029,電子–資訊服務
3030,電子–其他電子
3031,電子–光電
3032,電子–電子零組件
3033,電子–電子通路
3034,電子–半導體
3035,電子–半導體
3036,電子–電子通路
3037,電子–電子零組件
3038,電子–光電
3039,
3040,其他
3041,電子–半導體
3042,電子–電子零組件
3043,電子–其他電子
3044,電子–電子零組件
3045,電子–通信網路
3046,電子–電腦及週邊設備
3047,電子–通信網路
3048,電子–電子通路
3049,電子–光電
3050,電子–光電
3051,電子–光電
3052,建材營建
3053,
3054,食品工業
3055,電子–電子通路
3056,建材營建
3057,電子–電腦及週邊設備
3058,電子–電子零組件
3059,電子–光電
3060,電子–電腦及週邊設備
3061,
